name,type
Libro di Sitil,Abilità
Libro di Tyfar,Abilità
Libro di Vagras,Abilità
Libro di Vyola,Abilità
Libro di Yarrow,Abilità
Lingua della Natura,Abilità
Maestro dell'Arte,Abilità
Mai Sopraffatto,Abilità
Mani Curatrici,Abilità
Manovre Agili,Abilità
Mischia,Abilità
Morsa Mortale,Abilità
Mossa Caratteristica,Abilità
Mostro da Battaglia,Abilità
Muro Manifesto,Abilità
Non Abbastanza Buono,Abilità
Non Dire Mai Bugie,Abilità
Occhio Fluttuante,Abilità
Onda di Disintegrazione,Abilità
Ossa e Pelle,Abilità
Parole d'Ispirazione,Abilità
Parole di Discordia,Abilità
Passo Rapido,Abilità
Pelle di Spine,Abilità
PiantaGrane,Abilità
Piena Ondata,Abilità
Pioggia di Lame,Abilità
Potenziamento,Abilità
Precisione Crudele,Abilità
Premonizione,Abilità
Prendi e Tira,Abilità
Presa Cinerea,Abilità
Presa alla Gola,Abilità
Presenza Audace,Abilità
Proiettile Corrosivo,Abilità
Proiettile di Luce,Abilità
Proiezione Astrale,Abilità
Proiezione Sensoriale,Abilità
Provocazione,Abilità
Raccoglitore,Abilità
Rafforzamento,Abilità
Rafforzato in Battaglia,Abilità
Raggio Salvifico,Abilità
Rassicurazione,Abilità
Recupero,Abilità
Regola la Realtà,Abilità
Rialzati,Abilità
Ridirezione,Abilità
Riflesso Arcano,Abilità
Rifugio Sicuro,Abilità
Rinvigorimento,Abilità
Ripetizione,Abilità
Risorgi,Abilità
Risposta Rapida,Abilità
Ristoro,Abilità
Risurrezione,Abilità
Ritirata Fantasma,Abilità
Sangue e Gloria,Abilità
Santuario della Selva,Abilità
Scavatore di Pensieri,Abilità
Schivata Elusiva,Abilità
Scudo d'Aura,Abilità
Scudo di Supporto,Abilità
Scuotiti,Abilità
Secondo Respiro,Abilità
Sigillo di Ritorsione,Abilità
Silenzio,Abilità
Sono Il Tuo Scudo,Abilità
Sparizione,Abilità
Spettro del Buio,Abilità
Spinta Forzata,Abilità
Spiritelli della Foresta,Abilità
Spirito di Mezzanotte,Abilità
Splendida Luce Solare,Abilità
Sul Limite,Abilità
Sussurri Oscuri,Abilità
Tassa del Crepuscolo,Abilità
Tattico,Abilità
Telecinesi,Abilità
Teletrasporto,Abilità
Tempesta,Abilità
Terremoto,Abilità
Terrore della Notte,Abilità
Tieni la Linea,Abilità
Toccando l'Osso,Abilità
Toccato dal Codice,Abilità
Toccato dal Valore,Abilità
Toccato dall'Arcano,Abilità
Toccato dalla Mezzanotte,Abilità
Tocco Riparatore,Abilità
Tocco del Saggio,Abilità
Tocco della Grazia,Abilità
Tocco dello Splendore,Abilità
Tracciatore Dotato,Abilità
Travestimento Misterioso,Abilità
Travestimento di Massa,Abilità
Ultime Parole,Abilità
Unione Trascendente,Abilità
Vantaggio del Campione,Abilità
Vedo Che Arriva,Abilità
Velo Ipnotico,Abilità
Velo Notturno,Abilità
Vita Protetta,Abilità
Vitalità,Abilità
Voce della Ragione,Abilità
Volo,Abilità
Vortice,Abilità
Zona di Protezione,Abilità
Ali del Radioso Martirio,Artefatto
Amuleto dell'Investigatore,Artefatto
Anelli degli Elementi,Artefatto
Balestre della Vita e della Morte,Artefatto
Bastone della Misericordia,Artefatto
Bestia Sacra Eneli,Artefatto
Binocolo della Preveggenza,Artefatto
Bracciale Sulfureo,Artefatto
Bracciale dell'Oltredove,Artefatto
Bracciale delle Molte Forme,Artefatto
Chevya' La Bestia,Artefatto
Collana del Distruttore,Artefatto
Collana del Mutaforma,Artefatto
Cormaglio,Artefatto
Cuore Divino,Artefatto
Demone X,Artefatto
Domatore di Bestie,Artefatto
Dozhdboli il Nero Flagello,Artefatto
Dustsceawung,Artefatto
Egida del Rogo,Artefatto
Elmo del Fante Demoniaco,Artefatto
Elmo di Gwynplaine,Artefatto
Fante Demoniaco,Artefatto
Foglia di Iliar,Artefatto
Frullatore (danneggiato),Artefatto
Frusta Fiammeggiante,Artefatto
Gemma del Mana Perpetuo,Artefatto
Infallibile Cristallo del Fato,Artefatto
K'idusi Seyifi Mak'at'eli,Artefatto
Kanptazu,Artefatto
La Senza Peso,Artefatto
Lacrime Celesti,Artefatto
Lama del Sacro Ordine,Artefatto
Lancia Angelica,Artefatto
Lanterna del Becchino,Artefatto
Lenti dell'Archivista,Artefatto
Malia dell'Infido Gatto,Artefatto
Mano di Krea,Artefatto
Mantello dei Venti,Artefatto
Mantello dell'Inconsistenza,Artefatto
Matna e la Scatola,Artefatto
Mercanti di Meteore,Artefatto
Nindja,Artefatto
Occhio del Demone,Artefatto
Oppressione Demoniaca,Artefatto
Orecchini della Selva,Artefatto
Osservatore Celeste,Artefatto
Prima Lucis Advehens,Artefatto
Psy Bot,Artefatto
Putto,Artefatto
Sfida Celeste,Artefatto
Teschio del Traditore,Artefatto
Tibia di Jonuun,Artefatto
Tridente del Mare Eterno,Artefatto
Yolandi,Artefatto
Archivista,Background
Cacciatore di Meteore,Background
Dardo Sanguinante,Background
Highborne,Background
Loreborne,Background
Mare Andante,Background
Orderborne,Background
Ridgeborne,Background
Seaborne,Background
Slyborne,Background
Underborne,Background
Wanderborne,Background
Wildborne,Background
Bard,Classe
Druid,Classe
Guardian,Classe
Ranger,Classe
Rogue,Classe
Seraph,Classe
Sourcerer,Classe
Warlock,Classe
Warrior,Classe
Witch,Classe
Wizard,Classe
Abominio dei Regni Esterni,Creatura
Adepto Cultista,Creatura
Agglomerato di Carcasse Zombie,Creatura
Agile Scout,Creatura
Alto Serafino,Creatura
Anguille Elettriche,Creatura
Aquatic Predator,Creatura
Aquatic Scout,Creatura
Aquila Gigante,Creatura
Arcere Scheletrico,Creatura
Arciere Maledetto,Creatura
Arciere Spettrale,Creatura
ArcoNecromante,Creatura
Armored Sentry,Creatura
Assassino Apprendista,Creatura
Assassino Velenoso,Creatura
Bandito con Lama Seghettata,Creatura
Barone Mercante,Creatura
Branco Demoniaco,Creatura
Cacciatore Mortale,Creatura
Capitano Pirata,Creatura
Capitano Spettrale,Creatura
Capo delle Guardie,Creatura
Cavaliere Scheletrico,Creatura
Cavaliere del Cervo,Creatura
Cavaliere della Corona,Creatura
Cecchino della Lama Seghettata,Creatura
Combattente Gigante,Creatura
Consigliere Reale,Creatura
Corrutore dei Regni Esterni,Creatura
Corruttore dei Regni Esterni,Creatura
Cortigiana,Creatura
Cortigiano,Creatura
Coscritto,Creatura
Costrutto,Creatura
Custode dei Segreti,Creatura
Demone Minore,Creatura
Demone dell'Avarizia,Creatura
Demone dell'Presunzione,Creatura
Demone della Furia,Creatura
Demone di Disperazione,Creatura
Demone di Gelosia,Creatura
Devastatore,Creatura
Difensore dalle Radici Profonde,Creatura
Dragatore Scheletrico,Creatura
Drago Vulcanico Flagello Fuso,Creatura
Drago Vulcanico Predatore di Ossidiana,Creatura
Drago Vulcanico Tiranno Cinereo,Creatura
Driade,Creatura
Elementale Maggiore dell'Acqua,Creatura
Elementale Maggiore della Terra,Creatura
Elementale Minore del Caos,Creatura
Elementale Minore del Fuoco,Creatura
Epic Aquatic Beast,Creatura
Esperimento Fallito,Creatura
Giovane Drago di Ghiaccio,Creatura
Giovane Driade,Creatura
Gorgone,Creatura
Great Predator,Creatura
Great Winged Beast,Creatura
Gruppo di Zombie,Creatura
Guardia Arciere,Creatura
Guardia con Lama,Creatura
Guardiano Carceriere della Cripta,Creatura
Guardiano Spettrale,Creatura
Guerriero Caduto Campione Imbattibile,Creatura
Guerriero Caduto Frantumatore di Reami,Creatura
Guerriero Scheletrico,Creatura
Household Friend,Creatura
Idra,Creatura
Immensa Melma Verde,Creatura
Iniziato Cultista,Creatura
Kraken,Creatura
Ladro Mascherato,Creatura
Lama Incantata,Creatura
Legendary Beast,Creatura
Legendary Hybrid,Creatura
Legione Zombie,Creatura
Lucciola Adulta,Creatura
Lucciola Giovane,Creatura
Lupo Mannaro,Creatura
Maestro Assassino,Creatura
Maestro delle Armi,Creatura
Maestro delle Bestie Gigante,Creatura
Mago della Lama Seghettata,Creatura
Massive Behemoth,Creatura
Melma Rossa,Creatura
Melma Verde,Creatura
Mente dei Vampiri,Creatura
Mercante,Creatura
Mercenario,Creatura
Mighty Lizard,Creatura
Mighty Strider,Creatura
Minotauro Demolitore,Creatura
Monarca,Creatura
Mythic Aerial Hunter,Creatura
Mythic Beast,Creatura
Mythic Hybrid,Creatura
Nimble Grazer,Creatura
Nobile Minore,Creatura
Ogre di Caverna,Creatura
Ombra della Lama Seghettata,Creatura
Oracolo del Destino,Creatura
Orso,Creatura
Pack Predator,Creatura
Pastore di Alberi Minore,Creatura
Pastore di Alberi Quercia,Creatura
Piccola Melma Rossa,Creatura
Piccola Melma Verde,Creatura
Piccolo Pastore di Alberi,Creatura
Pirata Resiliente,Creatura
Pouncing Predator,Creatura
Powerful Beast,Creatura
Predoni Pirati,Creatura
Ratto Gigante,Creatura
Recluta Gigante,Creatura
Rovi Intricati,Creatura
Scatola da Battaglia,Creatura
Scavatore Acido,Creatura
Sciame di Ratti,Creatura
Sciame di Rovi Intricati,Creatura
Scintilla Elementale,Creatura
Scorpione Gigante,Creatura
Seguace della Lama Seghettata,Creatura
Sentinella Guardiana della Cripta,Creatura
Serpente di Vetro,Creatura
Servo dei Regni Esterni,Creatura
Sirena,Creatura
Soldato Maledetto,Creatura
Soldato Silvano,Creatura
Soldato d'Assalto Caduto,Creatura
Soldato d'Elite,Creatura
Spettro di Pietra,Creatura
SpezzaGinocchia della Lama Seghettata,Creatura
Spia,Creatura
Squadrone di Arceri,Creatura
Squalo,Creatura
Stalking Arachnid,Creatura
Stregone Caduto,Creatura
Stregone Guerriero,Creatura
Striking Serpent,Creatura
Tenente della Lama Seghettata,Creatura
Terribile Pipistrello,Creatura
Terrible Lizard,Creatura
Teschio del Caos,Creatura
Torretta Guardiana della Cripta,Creatura
Vampiro,Creatura
Winged Beast,Creatura
Zanna Cultista,Creatura
Zanzare Giganti,Creatura
Zombie Barcollante,Creatura
Zombie Marcio,Creatura
Zombie Muscoloso,Creatura
Zombie Perfezionato,Creatura
Adraoos,Divinità
Bakraag,Divinità
Demien,Divinità
Doomkhan,Divinità
Fadranstaff,Divinità
Garod,Divinità
Glumdrung,Divinità
Halthea,Divinità
Iliar,Divinità
Krea,Divinità
Lanie,Divinità
Laon,Divinità
Lurtan,Divinità
Maskarr,Divinità
Nuzagaal,Divinità
Tenebris,Divinità
Unthamarand,Divinità
Arcana,Dominio
Codice,Dominio
Grazia,Dominio
Lama,Dominio
MezzaNotte,Dominio
Ossa,Dominio
Saggio,Dominio
Splendore,Dominio
Valore,Dominio
Aantari Bow,Equipaggiamento
Advanced Arcane Gauntlets,Equipaggiamento
Advanced Battleaxe,Equipaggiamento
Advanced Broadsword,Equipaggiamento
Advanced Chainmail Armor,Equipaggiamento
Advanced Crossbow,Equipaggiamento
Advanced Cutlass,Equipaggiamento
Advanced Dagger,Equipaggiamento
Advanced Dualstaff,Equipaggiamento
Advanced Full Plate Armor,Equipaggiamento
Advanced Gambeson Armor,Equipaggiamento
Advanced Glowing Rings,Equipaggiamento
Advanced Grappler,Equipaggiamento
Advanced Greatstaff,Equipaggiamento
Advanced Greatsword,Equipaggiamento
Advanced Halberd,Equipaggiamento
Advanced Hallowed Axe,Equipaggiamento
Advanced Hand Crossbow,Equipaggiamento
Advanced Hand Runes,Equipaggiamento
Advanced Leather Armor,Equipaggiamento
Advanced Longbow,Equipaggiamento
Advanced Longsword,Equipaggiamento
Advanced Mace,Equipaggiamento
Advanced Quarterstaff,Equipaggiamento
Advanced Rapier,Equipaggiamento
Advanced Returning Blade,Equipaggiamento
Advanced Round Shield,Equipaggiamento
Advanced Scepter,Equipaggiamento
Advanced Shortbow,Equipaggiamento
Advanced Shortstaff,Equipaggiamento
Advanced Shortsword,Equipaggiamento
Advanced Small Dagger,Equipaggiamento
Advanced Spear,Equipaggiamento
Advanced Tower Shield,Equipaggiamento
Advanced Wand,Equipaggiamento
Advanced Warhammer,Equipaggiamento
Advanced Whip,Equipaggiamento
Arcane Gauntlets,Equipaggiamento
Axe of Fortunis,Equipaggiamento
Battleaxe,Equipaggiamento
Bellamoi Fine Armor,Equipaggiamento
Black Powder Revolver,Equipaggiamento
Bladed Whip,Equipaggiamento
Bladefare Armor,Equipaggiamento
Blessed Anlace,Equipaggiamento
Bloodstaff,Equipaggiamento
Blunderbuss,Equipaggiamento
Braveshield,Equipaggiamento
Bravesword,Equipaggiamento
Broadsword,Equipaggiamento
Buckler,Equipaggiamento
Casting Sword,Equipaggiamento
Chainmail Armor,Equipaggiamento
Channeling Armor,Equipaggiamento
Crossbow,Equipaggiamento
Curved Dagger,Equipaggiamento
Cutlass,Equipaggiamento
Dagger,Equipaggiamento
Devouring Dagger,Equipaggiamento
Double Flail,Equipaggiamento
Dragonscale Armor,Equipaggiamento
Dual-Ended Sword,Equipaggiamento
Dualstaff,Equipaggiamento
Dunamis Silkchain,Equipaggiamento
Ego Blade,Equipaggiamento
Elder Bow,Equipaggiamento
Elundrian Chain Armor,Equipaggiamento
Emberwoven Armor,Equipaggiamento
Extended Polearm,Equipaggiamento
Finehair Bow,Equipaggiamento
Firestaff,Equipaggiamento
Flickerfly Blade,Equipaggiamento
Floating Bladeshards,Equipaggiamento
Full Fortified Armor,Equipaggiamento
Full Plate Armor,Equipaggiamento
Fusion Gloves,Equipaggiamento
Gambeson Armor,Equipaggiamento
Ghostblade,Equipaggiamento
Gilded Bow,Equipaggiamento
Gilded Falchion,Equipaggiamento
Glowing Rings,Equipaggiamento
Grappler,Equipaggiamento
Greatbow,Equipaggiamento
Greatstaff,Equipaggiamento
Greatsword,Equipaggiamento
Halberd,Equipaggiamento
Hallowed Axe,Equipaggiamento
Hammer of Exota,Equipaggiamento
Hammer of Wrath,Equipaggiamento
Hand Cannon,Equipaggiamento
Hand Crossbow,Equipaggiamento
Hand Runes,Equipaggiamento
Hand Sling,Equipaggiamento
Harrowbone Armor,Equipaggiamento
Ilmaris Rifle,Equipaggiamento
Impact Gauntlet,Equipaggiamento
Improved Arcane Gauntlets,Equipaggiamento
Improved Battleaxe,Equipaggiamento
Improved Broadsword,Equipaggiamento
Improved Chainmail Armor,Equipaggiamento
Improved Crossbow,Equipaggiamento
Improved Cutlass,Equipaggiamento
Improved Dagger,Equipaggiamento
Improved Dualstaff,Equipaggiamento
Improved Full Plate Armor,Equipaggiamento
Improved Gambeson Armor,Equipaggiamento
Improved Glowing Rings,Equipaggiamento
Improved Grappler,Equipaggiamento
Improved Greatstaff,Equipaggiamento
Improved Greatsword,Equipaggiamento
Improved Halberd,Equipaggiamento
Improved Hallowed Axe,Equipaggiamento
Improved Hand Crossbow,Equipaggiamento
Improved Hand Runes,Equipaggiamento
Improved Leather Armor,Equipaggiamento
Improved Longbow,Equipaggiamento
Improved Longsword,Equipaggiamento
Improved Mace,Equipaggiamento
Improved Quarterstaff,Equipaggiamento
Improved Rapier,Equipaggiamento
Improved Returning Blade,Equipaggiamento
Improved Round Shield,Equipaggiamento
Improved Scepter,Equipaggiamento
Improved Shortbow,Equipaggiamento
Improved Shortstaff,Equipaggiamento
Improved Shortsword,Equipaggiamento
Improved Small Dagger,Equipaggiamento
Improved Spear,Equipaggiamento
Improved Tower Shield,Equipaggiamento
Improved Wand,Equipaggiamento
Improved Warhammer,Equipaggiamento
Improved Whip,Equipaggiamento
Irontree Breastplate Armor,Equipaggiamento
Keepers Staff,Equipaggiamento
Knuckle Blades,Equipaggiamento
Knuckle Claws,Equipaggiamento
Labrys Axe,Equipaggiamento
Leather Armor,Equipaggiamento
Legendary Arcane Gauntlets,Equipaggiamento
Legendary Battleaxe,Equipaggiamento
Legendary Broadsword,Equipaggiamento
Legendary Chainmail Armor,Equipaggiamento
Legendary Crossbow,Equipaggiamento
Legendary Cutlass,Equipaggiamento
Legendary Dagger,Equipaggiamento
Legendary Dualstaff,Equipaggiamento
Legendary Full Plate Armor,Equipaggiamento
Legendary Gambeson Armor,Equipaggiamento
Legendary Glowing Rings,Equipaggiamento
Legendary Grappler,Equipaggiamento
Legendary Greatstaff,Equipaggiamento
Legendary Greatsword,Equipaggiamento
Legendary Halberd,Equipaggiamento
Legendary Hallowed Axe,Equipaggiamento
Legendary Hand Crossbow,Equipaggiamento
Legendary Hand Runes,Equipaggiamento
Legendary Leather Armor,Equipaggiamento
Legendary Longbow,Equipaggiamento
Legendary Longsword,Equipaggiamento
Legendary Mace,Equipaggiamento
Legendary Quarterstaff,Equipaggiamento
Legendary Rapier,Equipaggiamento
Legendary Returning Blade,Equipaggiamento
Legendary Round Shield,Equipaggiamento
Legendary Scepter,Equipaggiamento
Legendary Shortbow,Equipaggiamento
Legendary Shortstaff,Equipaggiamento
Legendary Shortsword,Equipaggiamento
Legendary Small Dagger,Equipaggiamento
Legendary Spear,Equipaggiamento
Legendary Tower Shield,Equipaggiamento
Legendary Wand,Equipaggiamento
Legendary Warhammer,Equipaggiamento
Legendary Whip,Equipaggiamento
Longbow,Equipaggiamento
Longsword,Equipaggiamento
Mace,Equipaggiamento
Mage Orb,Equipaggiamento
Magus Revolver,Equipaggiamento
Meridian Cutlass,Equipaggiamento
Midas Scythe,Equipaggiamento
Monetts Cloak,Equipaggiamento
Parrying Dagger,Equipaggiamento
Powered Gauntlet,Equipaggiamento
Primer Shard,Equipaggiamento
Quarterstaff,Equipaggiamento
Rapier,Equipaggiamento
Retractable Saber,Equipaggiamento
Returning Axe,Equipaggiamento
Returning Blade,Equipaggiamento
Ricochet Axes,Equipaggiamento
Rosewild Armor,Equipaggiamento
Round Shield,Equipaggiamento
Runes of Fortification,Equipaggiamento
Runes of Ruination,Equipaggiamento
Runetan Floating Armor,Equipaggiamento
Savior Chainmail,Equipaggiamento
Scepter,Equipaggiamento
Scepter of Elias,Equipaggiamento
Shortbow,Equipaggiamento
Shortstaff,Equipaggiamento
Shortsword,Equipaggiamento
Siphoning Gauntlets,Equipaggiamento
Sledge Axe,Equipaggiamento
Small Dagger,Equipaggiamento
Spear,Equipaggiamento
Spiked Bow,Equipaggiamento
Spiked Plate Armor,Equipaggiamento
Spiked Shield,Equipaggiamento
Steelforged Halberd,Equipaggiamento
Swinging Ropeblade,Equipaggiamento
Sword of Light and Flame,Equipaggiamento
Talon Blades,Equipaggiamento
Thistlebow,Equipaggiamento
Tower Shield,Equipaggiamento
Tyris Soft Armor,Equipaggiamento
Urok Broadsword,Equipaggiamento
Veritas Opal Armor,Equipaggiamento
Wand,Equipaggiamento
Wand of Enthrallment,Equipaggiamento
Wand of Essek,Equipaggiamento
War Scythe,Equipaggiamento
Warhammer,Equipaggiamento
Whip,Equipaggiamento
Widogast Pendant,Equipaggiamento
Yutari Bloodbow,Equipaggiamento
Background,Indice
Benvenuto,Indice
Divinità,Indice
Domini delle Classi,Indice
Home,Indice
Indice Artefatti,Indice
Indice Luoghi,Indice
Indice NPC,Indice
Meteore,Indice
SottoClassi,Indice
Canzone di Nebvarasa,Lore
Dimensione della Materia,Lore
Dimensione dello Spirito,Lore
Guerra Celeste,Lore
Mondo di Neir,Lore
Notte Eterna,Lore
Vera Magia,Lore
Abisso Oscuro,Luogo
Accademia Magica di Nü,Luogo
Accademia delle Sette Arti,Luogo
Aman'Raith,Luogo
Antro dei Lupi d'Inverno,Luogo
Arena delle Belve,Luogo
Azkabel,Luogo
Baia d'Argento di Onor,Luogo
Baia di Redoro,Luogo
Banco del Mare,Luogo
Base della Marina,Luogo
Bassifondi,Luogo
Bastione Grigio,Luogo
Bastione del Principe,Luogo
Biblioteca di Azkabel,Luogo
Birreria dei Thunder,Luogo
Bosco di Alysara,Luogo
Bosco di Llira,Luogo
Bosco di Melis,Luogo
Campo Geyser,Luogo
Cancello,Luogo
Casa dei Musici e delle Belle Arti,Luogo
Caserma delle Mille Lance,Luogo
Cenere di Lanie,Luogo
Cimitero dei Draghi,Luogo
Città delle Trame,Luogo
Città di Nü,Luogo
Collegio,Luogo
Corporazione degli Archivisti,Luogo
Corporazione delle Arti,Luogo
Cratere di Lava,Luogo
Daragoss,Luogo
Desolazione Occidentale,Luogo
Distese Nuvolose di Aej'Nagrizzt,Luogo
Dominio delle Trame,Luogo
Ducato di Öuin,Luogo
Fato di Lyonel,Luogo
Favoleggiate Rovine di Gundazar,Luogo
Fiera Avveniristica di Flurr lo Gnomo,Luogo
Fiume Dern,Luogo
Fonderia del Principe,Luogo
Fondo di Guldann,Luogo
Forte Arundex,Luogo
Fortezza degli Scudi,Luogo
Fortino del Conte,Luogo
Giardinetti Lungofiume,Luogo
Giardino degli Dei,Luogo
Giungla di Erth,Luogo
Gloriosa Ezakran,Luogo
Golfo della Zanna Blu,Luogo
Grande Porto,Luogo
Guarnigione del Simbolo Guerriero,Luogo
Gundazar,Luogo
Hzaad'à,Luogo
I Bianchi Sepolcri,Luogo
Il Palazzo Imperiale,Luogo
Impero delle Terre Nascoste,Luogo
Ippodromo,Luogo
Isole Gemelle,Luogo
Kkyrlamny,Luogo
La Taverna Sommersa,Luogo
La Torre delle Anime,Luogo
Lago Vurur,Luogo
Lago delle Quattro Braccia,Luogo
Lago di Udz,Luogo
Landa di Edeber,Luogo
Larass'hra,Luogo
Le Mura Invalicabili,Luogo
Locanda degli Eroi,Luogo
Locanda del Cappuccio Nero,Luogo
Locanda dell'Eterno Riposo,Luogo
Locanda della Pergamena Annacquata,Luogo
Locanda delle Spade Incantate,Luogo
Ludreq,Luogo
Magocrazia di Nü,Luogo
Manor,Luogo
Mare della Progenie dell'Esiliato,Luogo
Mendulia's Rock,Luogo
Mercato degli Schiavi,Luogo
Milford,Luogo
Miniere delle Otto Famiglie,Luogo
Molo,Luogo
Molo degli Stendardi,Luogo
Montagna dell'Occhio del Drago,Luogo
Monteforte,Luogo
Mubunash,Luogo
Mura di Aeros II,Luogo
Museo Naturale,Luogo
Neir,Luogo
Oasi di Zey,Luogo
Obelisco dei Vinti,Luogo
Oscura Chiesa di Tenebris,Luogo
Ospedale del Silenzio,Luogo
Ostello dei Morti Contenti,Luogo
Osteria dell'Onda Infranta,Luogo
Pahr,Luogo
Palazzo Ducale,Luogo
Palazzo-sfera dell'Imperatore,Luogo
Petralta,Luogo
Pianure di Xanesh,Luogo
Piazza della Giostra,Luogo
Picchi del Wyrm,Luogo
Piramide del Dio Dimenticato,Luogo
Piscine,Luogo
Placido Specchio di Ghyd,Luogo
Ponte Curvo,Luogo
Porticato del Governatore,Luogo
Progenie del Vulcano,Luogo
Provincia di Petralta,Luogo
Quartiere Hjilaki,Luogo
Quartiere Mendus,Luogo
Quartiere Zeyd,Luogo
Radura delle Pietre Grigie,Luogo
Reggia dei Piaceri,Luogo
Regione Mistica,Luogo
Rengaria,Luogo
Repubblica di Mendulia’s Rock,Luogo
Rifugio dei Marinai,Luogo
Riposo dei Cavalieri,Luogo
Ritrovo dei Dannati,Luogo
Rupe di Mendulia,Luogo
Sala dei Gran Maestri,Luogo
Santuario di Fadranstaff,Luogo
Scuola degli Specchi,Luogo
Scuola delle Parole che Uccidono,Luogo
Segrete,Luogo
Selva Infestata di Mysteria,Luogo
Tana delle Sguattere,Luogo
Teatro dei Sogni,Luogo
Tempietto degli Ospedalieri,Luogo
Tempio degli Antenati,Luogo
Tempio del Cuore e della Mente,Luogo
Tempio della Guarigione,Luogo
Tempio della Luce Nera,Luogo
Terme Imperiali,Luogo
Terra di Ambra,Luogo
Torre Baronale,Luogo
Torre dei Segreti,Luogo
Università delle Scienze,Luogo
Valle Nuvolosa,Luogo
Valli dei Giganti,Luogo
Verde Foresta,Luogo
Vetta delle Anime,Luogo
Via degli Imperatori,Luogo
Via delle Botteghe,Luogo
Ynxazvann,Luogo
Öuin,Luogo
Acidpaste,Oggetto
Airblade Charm,Oggetto
Alistairs Torch,Oggetto
Arcane Cloak,Oggetto
Arcane Prism,Oggetto
Armor Stitcher,Oggetto
Attune Potion,Oggetto
Attune Relic,Oggetto
Bag of Ficklesand,Oggetto
Belt of Unity,Oggetto
Blinding Orb,Oggetto
Blood of the Yorgi,Oggetto
Bloodstone,Oggetto
Bolster Potion,Oggetto
Bolster Relic,Oggetto
Bonding Honey,Oggetto
Box of Many Goods,Oggetto
Bridge Seed,Oggetto
Calming Pendant,Oggetto
Channelstone,Oggetto
Charging Quiver,Oggetto
Charm Potion,Oggetto
Charm Relic,Oggetto
Circle of the Void,Oggetto
Clay Companion,Oggetto
Companion Case,Oggetto
Control Potion,Oggetto
Control Relic,Oggetto
Corrector Sprite,Oggetto
Death Tea,Oggetto
Dragonbloom Tea,Oggetto
Dripfang Poison,Oggetto
Dual Flask,Oggetto
Elusive Amulet,Oggetto
Empty Chest,Oggetto
Enlighten Potion,Oggetto
Enlighten Relic,Oggetto
Feast of Xuria,Oggetto
Featherbone,Oggetto
Fire Jar,Oggetto
Flickerfly Pendant,Oggetto
Gecko Gloves,Oggetto
Gem of Alacrity,Oggetto
Gem of Audacity,Oggetto
Gem of Insight,Oggetto
Gem of Might,Oggetto
Gem of Precision,Oggetto
Gem of Sagacity,Oggetto
Gill Salve,Oggetto
Glamour Stone,Oggetto
Glider,Oggetto
Greatstone,Oggetto
Grindletooth Venom,Oggetto
Growing Potion,Oggetto
Health Potion,Oggetto
Homets Secret Potion,Oggetto
Homing Compasses,Oggetto
Honing Relic,Oggetto
Hopehold Flare,Oggetto
Hopekeeper Locket,Oggetto
Hornets Secret Potion,Oggetto
Improved Arcane Shard,Oggetto
Improved Grindletooth Venom,Oggetto
Infinite Bag,Oggetto
