source,source_type,target,target_type,weight
Ispirazione Divina,house_rule,Maskarr,deity_or_faction,2
Teriantropia,house_rule,Urakian,unknown,2
Teriantropia,house_rule,Hjilaki,unknown,2
Vampirismo,house_rule,Azkabel,location,2
Vampirismo,house_rule,Hjilaki,unknown,2
Vampirismo,house_rule,Neir,location,2
Cavaliere di Kurash,subclass,Nebvarasa,unknown,2
Cavaliere di Kurash,subclass,Kurash,unknown,2
SottoClassi,subclass,Wizard,class,2
SottoClassi,subclass,Warrior,class,2
Approccio Strategico,ability,riposo lungo,unknown,2
Approccio Strategico,ability,attacco,unknown,2
Armatura Infrangibile,ability,Fessura dell'Armatura,unknown,2
Assalto,ability,attacco,unknown,2
Assalto,ability,Ferita,unknown,2
Aura Confondente,ability,attacco,unknown,2
Cacciare,ability,tiro di reazione,unknown,2
Cacciare,ability,Difficoltà,unknown,2
Campo di Guarigione,ability,Ferita,unknown,2
Carisma Infinito,ability,Speranza,unknown,2
Catena di Fulmini,ability,Spellcast Roll,unknown,2
Catena di Fulmini,ability,Close Range,unknown,2
Catena di Fulmini,ability,D8,unknown,2
Catena di Fulmini,ability,danni magici,unknown,2
Cieli che Cadono,ability,Stress,unknown,2
Colpito dalla Lama,ability,Lama,domain,2
Toccato dalla Mezzanotte,ability,Mezzanotte,unknown,2
An'Rao IV,npc,Karevi,unknown,2
An'Rao IV,npc,Garod,deity_or_faction,2
Annie Rose-Robe,npc,Milford,location,2
Bruin Ashcroft,npc,Baia di Redoro,location,2
Desea,npc,Axrul II De Vaars,npc,2
Efneriom,npc,Neir,location,2
Fahrn,npc,Gundazar,location,2
Fahrn,npc,Aman'Raith,location,2
Horus,npc,Neir,location,2
Horus,npc,Distese Nuvolose di Aej'Nagrizzt,location,2
M'oraoork,npc,Garod,deity_or_faction,2
M'oraoork,npc,Gloriosa Ezakran,location,2
Orgnornor,npc,Forte Arundex,location,2
Rakilia,npc,Oasi di Zey,location,2
Rakilia,npc,Karevi,unknown,2
Renetzia,npc,Karevi,unknown,2
Benvenuto,unknown,crea un collegamento,unknown,1
Home,unknown,PNG_A,unknown,1
Home,unknown,PNG_B,unknown,1
Home,unknown,Geografia,unknown,1
Home,unknown,Regole_di_Casa,unknown,1
Home,unknown,Transformations,unknown,1
Canzone di Nebvarasa,lore,Nebvarasa,unknown,1
Meteore,artifact,Dimensione dello Spirito,lore,1
Meteore,artifact,Karevi,unknown,1
Meteore,artifact,Ali del Radioso Martirio,artifact,1
Meteore,artifact,Infallibile Cristallo del Fato,artifact,1
Meteore,artifact,Amuleto dell'investigatore,unknown,1
Meteore,artifact,La Senza Peso,artifact,1
Meteore,artifact,Anelli degli Elementi,artifact,1
Meteore,artifact,Kanptazu,artifact,1
Meteore,artifact,Balestre della Vita e della Morte,artifact,1
Meteore,artifact,K'idusi Seyifi Mak'at'eli,artifact,1
Meteore,artifact,Bastone della Misericordia,artifact,1
Meteore,artifact,Lacrime Celesti,artifact,1
Meteore,artifact,Bestia Sacra Eneli,artifact,1
Meteore,artifact,Lama del Sacro Ordine,artifact,1
Meteore,artifact,Binocolo della Preveggenza,artifact,1
Meteore,artifact,Lancia Angelica,artifact,1
Meteore,artifact,Bracciale delle Molte Forme,artifact,1
Meteore,artifact,Lanterna del Becchino,artifact,1
Meteore,artifact,Bracciale dell'Oltredove,artifact,1
Meteore,artifact,Lenti dell'Archivista,artifact,1
Meteore,artifact,Bracciale Sulfureo,artifact,1
Meteore,artifact,Malia dell'Infido Gatto,artifact,1
Meteore,artifact,Chevya' La Bestia,artifact,1
Meteore,artifact,Mano di Krea,artifact,1
Meteore,artifact,Collana del Distruttore,artifact,1
Meteore,artifact,Mantello dei Venti,artifact,1
Meteore,artifact,Collana del Mutaforma,artifact,1
Meteore,artifact,Mantello dell'inconsistenza,unknown,1
Meteore,artifact,Cormaglio,artifact,1
Meteore,artifact,Matna e la Scatola,artifact,1
Meteore,artifact,Cuore Divino,artifact,1
Meteore,artifact,Nindja,artifact,1
Meteore,artifact,Demone X,artifact,1
Meteore,artifact,Occhio del Demone,artifact,1
Meteore,artifact,Domatore di Bestie,artifact,1
Meteore,artifact,Oppressione Demoniaca,artifact,1
Meteore,artifact,Dozhdboli il Nero Flagello,artifact,1
Meteore,artifact,Orecchini della Selva,artifact,1
Meteore,artifact,Dustsceawung,artifact,1
Meteore,artifact,Osservatore Celeste,artifact,1
Meteore,artifact,Egida del Rogo,artifact,1
Meteore,artifact,Psy Bot,artifact,1
Meteore,artifact,Elmo del Fante Demoniaco,artifact,1
Meteore,artifact,Prima Lucis Advehens,artifact,1
Meteore,artifact,Elmo di Gwynplaine,artifact,1
Meteore,artifact,Putto,artifact,1
Meteore,artifact,Fante Demoniaco,artifact,1
Meteore,artifact,Sfida Celeste,artifact,1
Meteore,artifact,Foglia di Iliar,artifact,1
Meteore,artifact,Teschio del Traditore,artifact,1
Meteore,artifact,Frullatore (danneggiato),artifact,1
Meteore,artifact,Tibia di Jonuun,artifact,1
Meteore,artifact,Frusta Fiammeggiante,artifact,1
Meteore,artifact,Tridente del Mare Eterno,artifact,1
Meteore,artifact,Gemma del Mana Perpetuo,artifact,1
Meteore,artifact,Yolandi,artifact,1
Mondo di Neir,lore,Larass'hra,location,1
Mondo di Neir,lore,Wiloi,unknown,1
Mondo di Neir,lore,Loy'ach,unknown,1
Mondo di Neir,lore,Najestarr,npc,1
Mondo di Neir,lore,Rengaria,location,1
Mondo di Neir,lore,Distese Nuvolose di Aej'Nagrizzt,location,1
Mondo di Neir,lore,Tenebris,deity_or_faction,1
Divinità,deity_or_faction,Adraoos,deity_or_faction,1
Divinità,deity_or_faction,Bakraag,deity_or_faction,1
Divinità,deity_or_faction,Demien,deity_or_faction,1
Divinità,deity_or_faction,Doomkhan,deity_or_faction,1
Divinità,deity_or_faction,Fadranstaff,deity_or_faction,1
Divinità,deity_or_faction,Glumdrung,deity_or_faction,1
Divinità,deity_or_faction,Halthea,deity_or_faction,1
Divinità,deity_or_faction,Iliar,deity_or_faction,1
Divinità,deity_or_faction,Krea,deity_or_faction,1
Divinità,deity_or_faction,Nelen Deseziath,npc,1
Divinità,deity_or_faction,Lurtan,deity_or_faction,1
Divinità,deity_or_faction,Maskarr,deity_or_faction,1
Divinità,deity_or_faction,Nuzagaal,deity_or_faction,1
Divinità,deity_or_faction,Tenebris,deity_or_faction,1
Divinità,deity_or_faction,Unthamarand,deity_or_faction,1
Lanie,deity_or_faction,Neir,location,1
Cenere di Lanie,location,Cratere di Lava,location,1
Cenere di Lanie,location,Distese Nuvolose di Aej'Nagrizzt,location,1
Cenere di Lanie,location,Placido Specchio di Ghyd,location,1
Dominio delle Trame,location,Città delle Trame,location,1
Dominio delle Trame,location,Matrona di Sangue,unknown,1
Ducato di Öuin,location,Dominio delle Trame,location,1
Ducato di Öuin,location,Agan,npc,1
Ducato di Öuin,location,Mendulia's Rock,location,1
Ducato di Öuin,location,Elfi di Dor,ancestry,1
Ducato di Öuin,location,Halthea,deity_or_faction,1
Ducato di Öuin,location,Fadranstaff,deity_or_faction,1
Ducato di Öuin,location,Landa di Edeber,location,1
Favoleggiate Rovine di Gundazar,location,Najestarr,npc,1
Favoleggiate Rovine di Gundazar,location,Hadaknaton,unknown,1
Favoleggiate Rovine di Gundazar,location,Loy'ach,unknown,1
Favoleggiate Rovine di Gundazar,location,Elfi,unknown,1
Favoleggiate Rovine di Gundazar,location,Oasi di Zey,location,1
Favoleggiate Rovine di Gundazar,location,Valle Nuvolosa,location,1
Impero delle Terre Nascoste,location,Cenere di Lanie,location,1
Impero delle Terre Nascoste,location,Mendulia's Rock,location,1
Impero delle Terre Nascoste,location,An'Rao IV,npc,1
Impero delle Terre Nascoste,location,Terra,unknown,1
Impero delle Terre Nascoste,location,Kkyrlamny,location,1
Impero delle Terre Nascoste,location,Fato di Lyonel,location,1
Impero delle Terre Nascoste,location,Giungla di Erth,location,1
Impero delle Terre Nascoste,location,Ynxazvann,location,1
Impero delle Terre Nascoste,location,Hzaad'à,location,1
Impero delle Terre Nascoste,location,Manor,location,1
Impero delle Terre Nascoste,location,I Bianchi Sepolcri,location,1
Larass'hra,location,Elfi,ancestry,1
Larass'hra,location,Pianure di Xanesh,location,1
Larass'hra,location,Occhio del Drago,unknown,1
Larass'hra,location,Città di Nü,location,1
Larass'hra,location,Baia d'Argento di Onor,location,1
Larass'hra,location,Bosco di Alysara,location,1
Larass'hra,location,Bosco di Llira,location,1
Larass'hra,location,Bosco di Melis,location,1
Larass'hra,location,Desolazione Occidentale,location,1
Larass'hra,location,Golfo della Zanna Blu,location,1
Larass'hra,location,Isole Gemelle,location,1
Larass'hra,location,Lago di Udz,location,1
Larass'hra,location,Mare della Progenie dell'Esiliato,location,1
Larass'hra,location,Montagna dell'Occhio del Drago,location,1
Larass'hra,location,Picchi del Wyrm,location,1
Larass'hra,location,Progenie del Vulcano,location,1
Larass'hra,location,Canzone di Nebvarasa,lore,1
Magocrazia di Nü,location,Nebvarasa,unknown,1
Magocrazia di Nü,location,Hadaknaton,unknown,1
Magocrazia di Nü,location,Nü,unknown,1
Magocrazia di Nü,location,Cenere di Lanie,location,1
Magocrazia di Nü,location,Nelen Deseziath,npc,1
Magocrazia di Nü,location,Doomkhan,deity_or_faction,1
Magocrazia di Nü,location,Glumdrung,deity_or_faction,1
Oasi di Zey,location,Wiloi,unknown,1
Oasi di Zey,location,Elfi,unknown,1
Oasi di Zey,location,Nani,unknown,1
Oasi di Zey,location,umani,unknown,1
Oasi di Zey,location,halfling,unknown,1
Oasi di Zey,location,Lanie,deity_or_faction,1
Oasi di Zey,location,Karevi,ancestry,1
Oasi di Zey,location,Dominio delle Trame,location,1
Oasi di Zey,location,Öuin,location,1
Oasi di Zey,location,Mendulia's Rock,location,1
Oasi di Zey,location,giorni,unknown,1
Oasi di Zey,location,Doomkhan,deity_or_faction,1
Oasi di Zey,location,Cenere di Lanie,location,1
Oasi di Zey,location,Piramide del Dio Dimenticato,location,1
Oasi di Zey,location,Scuola degli Specchi,location,1
Oasi di Zey,location,La Taverna Sommersa,location,1
Oasi di Zey,location,Giardino degli Dei,location,1
Oasi di Zey,location,Le Mura Invalicabili,location,1
Oasi di Zey,location,Fadranstaff,deity_or_faction,1
Oasi di Zey,location,Rakilia,npc,1
Pianure di Xanesh,location,Valle Nuvolosa,location,1
Pianure di Xanesh,location,Elspet,unknown,1
Pianure di Xanesh,location,Aman'raith,unknown,1
Pianure di Xanesh,location,Varshold,unknown,1
Pianure di Xanesh,location,Nuzagaal,deity_or_faction,1
Pianure di Xanesh,location,Kustaza,unknown,1
Pianure di Xanesh,location,Karevi,unknown,1
Pianure di Xanesh,location,Uskar,unknown,1
Pianure di Xanesh,location,Belzifer,unknown,1
Pianure di Xanesh,location,Garod,deity_or_faction,1
Pianure di Xanesh,location,Darkfiame,unknown,1
Pianure di Xanesh,location,Krea,deity_or_faction,1
Pianure di Xanesh,location,Glumdrung,deity_or_faction,1
Pianure di Xanesh,location,Milford,location,1
Pianure di Xanesh,location,Oscura chiesa di Tenebris,unknown,1
Pianure di Xanesh,location,Hulbert,npc,1
Repubblica di Mendulia’s Rock,location,Nuzagaal,deity_or_faction,1
Repubblica di Mendulia’s Rock,location,Wiloi,unknown,1
Repubblica di Mendulia’s Rock,location,Provincia di Petralta,location,1
Repubblica di Mendulia’s Rock,location,Elfi,unknown,1
Repubblica di Mendulia’s Rock,location,Mubunash,location,1
Repubblica di Mendulia’s Rock,location,Maskarr,deity_or_faction,1
Repubblica di Mendulia’s Rock,location,Bruin Ashcroft,npc,1
Repubblica di Mendulia’s Rock,location,Ippodromo,location,1
Valle Nuvolosa,location,Ludreq,location,1
Valle Nuvolosa,location,Pahr,location,1
Valle Nuvolosa,location,selva Infestata di Mysteria,unknown,1
Valle Nuvolosa,location,Campo Geyser,location,1
Valli dei Giganti,location,Pianure di Xanesh,location,1
Valli dei Giganti,location,Urakian,unknown,1
Valli dei Giganti,location,Cenere di Lanie,location,1
Valli dei Giganti,location,Fort Arundex,unknown,1
Valli dei Giganti,location,Nuzagaal,deity_or_faction,1
Valli dei Giganti,location,Iliar,deity_or_faction,1
Valli dei Giganti,location,Lago delle Quattro Braccia,location,1
Valli dei Giganti,location,Wündarka,unknown,1
Valli dei Giganti,location,Rowzrugu,npc,1
Valli dei Giganti,location,Buhragath,npc,1
Verde Foresta,location,Landa di Edeber,location,1
Verde Foresta,location,Iliar,deity_or_faction,1
Verde Foresta,location,Fahrn,npc,1
Elfi di Dor,ancestry,Mendulia's Rock,location,1
Elfi di Dor,ancestry,Impero delle Terre Nascoste,location,1
Elfi di Dor,ancestry,Città di Nü,location,1
Elfi di Dor,ancestry,Halthea,deity_or_faction,1
Elfi di Dor,ancestry,Garod,deity_or_faction,1
Elfi di Dor,ancestry,Iliar,deity_or_faction,1
Elfi di Dor,ancestry,Glumdrung,deity_or_faction,1
Elfi di Dor,ancestry,Lurtan,deity_or_faction,1
Hjilaki,ancestry,Neir,location,1
Vampiro,enemy,Dominio delle Trame,location,1
Vera Magia,lore,Dimensione dello Spirito,lore,1
Vera Magia,lore,Vetta delle Anime,location,1
Vera Magia,lore,Yolam'hra,unknown,1
Vera Magia,lore,Hadaknaton,unknown,1
Vera Magia,lore,Zuyndar,unknown,1
Vera Magia,lore,Rengaria,location,1
Ali del Radioso Martirio,artifact,Garod,deity_or_faction,1
Amuleto dell'Investigatore,artifact,Rengaria,location,1
Anelli degli Elementi,artifact,Neir,location,1
Balestre della Vita e della Morte,artifact,Hedd,npc,1
Bastone della Misericordia,artifact,Fadranstaff,deity_or_faction,1
Bastone della Misericordia,artifact,Rengaria,location,1
Bastone della Misericordia,artifact,Dimensione della Materia,lore,1
Bestia Sacra Eneli,artifact,Nebvarasa,unknown,1
Bestia Sacra Eneli,artifact,Lurtan,deity_or_faction,1
Binocolo della Preveggenza,artifact,Doomkhan,deity_or_faction,1
Bracciale dell'Oltredove,artifact,Dimensione della Materia,lore,1
Bracciale dell'Oltredove,artifact,Zuyndar,unknown,1
Bracciale Sulfureo,artifact,Tenebris,deity_or_faction,1
Bracciale Sulfureo,artifact,Garod,deity_or_faction,1
Bracciale Sulfureo,artifact,Dimensione della Materia,lore,1
Chevya' La Bestia,artifact,Halthea,deity_or_faction,1
Chevya' La Bestia,artifact,Neir,location,1
Chevya' La Bestia,artifact,Nuzagaal,deity_or_faction,1
Cuore Divino,artifact,Dimensione della Materia,lore,1
Demone X,artifact,Neir,location,1
Dustsceawung,artifact,Nebvarasa,unknown,1
Dustsceawung,artifact,Rengaria,location,1
Egida del Rogo,artifact,Dimensione dello Spirito,lore,1
Egida del Rogo,artifact,Neir,location,1
Egida del Rogo,artifact,Belzifer,unknown,1
Elmo del Fante Demoniaco,artifact,Demien,deity_or_faction,1
Fante Demoniaco,artifact,Elmo del Fante Demoniaco,artifact,1
Foglia di Iliar,artifact,Elfi,unknown,1
Foglia di Iliar,artifact,Neir,location,1
Frusta Fiammeggiante,artifact,Tenebris,deity_or_faction,1
Frusta Fiammeggiante,artifact,Città Senza Nome,unknown,1
Frusta Fiammeggiante,artifact,Neir,location,1
Frusta Fiammeggiante,artifact,Karevi,unknown,1
Frusta Fiammeggiante,artifact,Bakraag,deity_or_faction,1
Frusta Fiammeggiante,artifact,Unthamarand,deity_or_faction,1
Gemma del Mana Perpetuo,artifact,Dor,unknown,1
Gemma del Mana Perpetuo,artifact,Città Torre di Meth,unknown,1
Gemma del Mana Perpetuo,artifact,Reame di Dor,unknown,1
Infallibile Cristallo del Fato,artifact,Doomkhan,deity_or_faction,1
Infallibile Cristallo del Fato,artifact,Notte Eterna,lore,1
Infallibile Cristallo del Fato,artifact,Gundazar,location,1
K'idusi Seyifi Mak'at'eli,artifact,Guerra Celeste,lore,1
K'idusi Seyifi Mak'at'eli,artifact,Fadranstaff,deity_or_faction,1
Kanptazu,artifact,Neir,location,1
Kanptazu,artifact,Rengaria,location,1
La Senza Peso,artifact,Dimensione della Materia,lore,1
Lacrime Celesti,artifact,Rengaria,location,1
Lama del Sacro Ordine,artifact,Neir,location,1
Lanterna del Becchino,artifact,Principato di Darkflame,unknown,1
Lanterna del Becchino,artifact,Krea,deity_or_faction,1
Lanterna del Becchino,artifact,Città Senza Nome,unknown,1
Lanterna del Becchino,artifact,Dimensione dello Spirito,lore,1
Mano di Krea,artifact,cacciatori di meteore,unknown,1
Mano di Krea,artifact,Tempio di Krea,unknown,1
Mano di Krea,artifact,Darkflame,unknown,1
Mano di Krea,artifact,Burocrate Infernale,unknown,1
Mantello dei Venti,artifact,Adraoos,deity_or_faction,1
Mantello dei Venti,artifact,Neir,location,1
Matna e la Scatola,artifact,gemma del mana perpetuo,unknown,1
Matna e la Scatola,artifact,Città Senza Nome,unknown,1
