source,source_type,target,target_type,relationship
Divinità,deity_or_faction,Laon,deity_or_faction,references
Divinità,deity_or_faction,Lurtan,deity_or_faction,references
Divinità,deity_or_faction,Maskarr,deity_or_faction,references
Divinità,deity_or_faction,Nuzagaal,deity_or_faction,references
Divinità,deity_or_faction,Tenebris,deity_or_faction,references
Divinità,deity_or_faction,Unthamarand,deity_or_faction,references
Doomkhan,deity_or_faction,Pasted image 20260710131752.png,unknown,references
Fadranstaff,deity_or_faction,Pasted image 20260710131838.png,unknown,references
Garod,deity_or_faction,Pasted image 20260710131909.png,unknown,references
Glumdrung,deity_or_faction,Pasted image 20260710131952.png,unknown,references
Halthea,deity_or_faction,Pasted image 20260710132254.png,unknown,references
Iliar,deity_or_faction,Pasted image 20260710132353.png,unknown,references
Krea,deity_or_faction,Pasted image 20260710132429.png,unknown,references
Lanie,deity_or_faction,Pasted image 20260710132446.png,unknown,references
Lanie,deity_or_faction,Nelen Deseziath,npc,references
Lanie,deity_or_faction,Nelen Deseziath,npc,references
Lanie,deity_or_faction,Neir,location,references
Lanie,deity_or_faction,Nelen Deseziath,npc,references
Laon,deity_or_faction,Pasted image 20260710132750.png,unknown,references
Lurtan,deity_or_faction,Pasted image 20260710132843.png,unknown,references
Maskarr,deity_or_faction,Pasted image 20260710132905.png,unknown,references
Nuzagaal,deity_or_faction,Pasted image 20260710132933.png,unknown,references
Tenebris,deity_or_faction,Pasted image 20260710132953.png,unknown,references
Unthamarand,deity_or_faction,Pasted image 20260710133019.png,unknown,references
Cenere di Lanie,location,cenere_di_lanie_pic.png,unknown,references
Cenere di Lanie,location,Urakian,ancestry,references
Cenere di Lanie,location,Urakian,ancestry,references
Cenere di Lanie,location,Urakian,ancestry,references
Cenere di Lanie,location,Urakian,ancestry,references
Cenere di Lanie,location,urakian,unknown,references
Cenere di Lanie,location,urakian,unknown,references
Cenere di Lanie,location,Cratere di Lava,location,references
Cenere di Lanie,location,Distese Nuvolose di Aej'Nagrizzt,location,references
Cenere di Lanie,location,Placido Specchio di Ghyd,location,references
Dominio delle Trame,location,dominio_delle_trame_pic.png,unknown,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Città delle Trame,location,references
Dominio delle Trame,location,Namass'rya,npc,references
Dominio delle Trame,location,Matrona di Sangue,unknown,references
Ducato di Öuin,location,ducato_di_ouin_pic.png,unknown,references
Ducato di Öuin,location,Laon,deity_or_faction,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Dominio delle Trame,location,references
Ducato di Öuin,location,Laon,deity_or_faction,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Agan,npc,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Mendulia's Rock,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Laon,deity_or_faction,references
Ducato di Öuin,location,Lewyn,npc,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Neir,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Laon,deity_or_faction,references
Ducato di Öuin,location,Neir,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Neir,location,references
Ducato di Öuin,location,Neir,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Elfi di Dor,ancestry,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Laon,deity_or_faction,references
Ducato di Öuin,location,Halthea,deity_or_faction,references
Ducato di Öuin,location,Fadranstaff,deity_or_faction,references
Ducato di Öuin,location,Öuin,location,references
Ducato di Öuin,location,Landa di Edeber,location,references
Ducato di Öuin,location,Lewyn,npc,references
Ducato di Öuin,location,Öuin,location,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,orchi,unknown,references
Favoleggiate Rovine di Gundazar,location,orchi,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Valli dei Giganti,location,references
Favoleggiate Rovine di Gundazar,location,giganti,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Najestarr,npc,references
Favoleggiate Rovine di Gundazar,location,Hadaknaton,unknown,references
Favoleggiate Rovine di Gundazar,location,Loy'ach,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Tenebris,deity_or_faction,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Mendulia's Rock,location,references
Favoleggiate Rovine di Gundazar,location,Mendulia's Rock,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Valli dei Giganti,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Neir,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Neir,location,references
Favoleggiate Rovine di Gundazar,location,Tenebris,deity_or_faction,references
Favoleggiate Rovine di Gundazar,location,elfi,unknown,references
Favoleggiate Rovine di Gundazar,location,wiloi,unknown,references
Favoleggiate Rovine di Gundazar,location,Mendulia's Rock,location,references
Favoleggiate Rovine di Gundazar,location,Mendulia's Rock,location,references
Favoleggiate Rovine di Gundazar,location,Oasi di Zey,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Valli dei Giganti,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Neir,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Gundazar,location,references
Favoleggiate Rovine di Gundazar,location,Valle Nuvolosa,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,wiloi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,klorss,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,klorss,unknown,references
Impero delle Terre Nascoste,location,klorss,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Gundazar,location,references
Impero delle Terre Nascoste,location,Cenere di Lanie,location,references
Impero delle Terre Nascoste,location,Mendulia's Rock,location,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Provincia di Petralta,location,references
Impero delle Terre Nascoste,location,Gundazar,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,An'Rao IV,npc,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,klorss,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,Gundazar,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Terra,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Neir,location,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,karevi,unknown,references
Impero delle Terre Nascoste,location,Garod,deity_or_faction,references
Impero delle Terre Nascoste,location,Kkyrlamny,location,references
Impero delle Terre Nascoste,location,Provincia di Petralta,location,references
Impero delle Terre Nascoste,location,Petralta,location,references
Impero delle Terre Nascoste,location,Fato di Lyonel,location,references
Impero delle Terre Nascoste,location,Giungla di Erth,location,references
Impero delle Terre Nascoste,location,Ynxazvann,location,references
Impero delle Terre Nascoste,location,klorss,unknown,references
Impero delle Terre Nascoste,location,Hzaad'à,location,references
Impero delle Terre Nascoste,location,Provincia di Petralta,location,references
Impero delle Terre Nascoste,location,wiloi,unknown,references
Impero delle Terre Nascoste,location,Manor,location,references
Impero delle Terre Nascoste,location,Petralta,location,references
Impero delle Terre Nascoste,location,I Bianchi Sepolcri,location,references
Larass'hra,location,Nebvarasa,unknown,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Mazak'hra,unknown,references
Larass'hra,location,Elfi,ancestry,references
Larass'hra,location,elfi,unknown,references
Larass'hra,location,nani,unknown,references
Larass'hra,location,umani,unknown,references
Larass'hra,location,Pianure di Xanesh,location,references
Larass'hra,location,Leresalazsnn'hra,unknown,references
Larass'hra,location,Occhio del Drago,unknown,references
Larass'hra,location,Larass'hra,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Daragoss,location,references
Larass'hra,location,elfi,unknown,references
Larass'hra,location,wiloi,unknown,references
Larass'hra,location,Mazak'hra,unknown,references
Larass'hra,location,wiloi,unknown,references
Larass'hra,location,Vetta delle Anime,location,references
Larass'hra,location,wiloi,unknown,references
Larass'hra,location,Nebvarasa,unknown,references
Larass'hra,location,Vetta delle Anime,location,references
Larass'hra,location,Regione Mistica,location,references
Larass'hra,location,Città di Nü,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Mazak'hra,unknown,references
Larass'hra,location,Mazak'hra,unknown,references
Larass'hra,location,elfi,unknown,references
Larass'hra,location,nani,unknown,references
Larass'hra,location,umani,unknown,references
Larass'hra,location,Larass'hra,location,references
Larass'hra,location,Leresalazsnn'hra,unknown,references
Larass'hra,location,Daragoss,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,wiloi,unknown,references
Larass'hra,location,Leresalazsnn'hra,unknown,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Leresalazsnn'hra,unknown,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Leresalazsnn'hra,unknown,references
Larass'hra,location,Baia d'Argento di Onor,location,references
Larass'hra,location,Bosco di Alysara,location,references
Larass'hra,location,Bosco di Llira,location,references
Larass'hra,location,Bosco di Melis,location,references
Larass'hra,location,Cimitero dei Draghi,location,references
Larass'hra,location,Desolazione Occidentale,location,references
Larass'hra,location,Regione Mistica,location,references
Larass'hra,location,Golfo della Zanna Blu,location,references
Larass'hra,location,Isole Gemelle,location,references
Larass'hra,location,Lago di Udz,location,references
Larass'hra,location,Mare della Progenie dell'Esiliato,location,references
Larass'hra,location,Montagna dell'Occhio del Drago,location,references
Larass'hra,location,Picchi del Wyrm,location,references
Larass'hra,location,Progenie del Vulcano,location,references
Larass'hra,location,Terra di Ambra,location,references
Larass'hra,location,Vetta delle Anime,location,references
Larass'hra,location,Terra di Ambra,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Larass'hra,location,references
Larass'hra,location,Canzone di Nebvarasa,lore,references
Larass'hra,location,Neir,location,references
Larass'hra,location,Cimitero dei Draghi,location,references
Larass'hra,location,Larass'hra,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,Nebvarasa,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Abisso Oscuro,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Hadaknaton,unknown,references
Magocrazia di Nü,location,loy'ach,unknown,references
Magocrazia di Nü,location,loy'ach,unknown,references
Magocrazia di Nü,location,Abisso Oscuro,location,references
Magocrazia di Nü,location,loy'ach,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Città di Nü,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,loy'ach,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,loy'ach,unknown,references
Magocrazia di Nü,location,Najestarr,npc,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Magocrazia di Nü,location,references
Magocrazia di Nü,location,Città di Nü,location,references
Magocrazia di Nü,location,Azkabel,location,references
Magocrazia di Nü,location,Daragoss,location,references
Magocrazia di Nü,location,Daragoss,location,references
Magocrazia di Nü,location,Nü,unknown,references
Magocrazia di Nü,location,Magocrazia di Nü,location,references
Magocrazia di Nü,location,Gundazar,location,references
Magocrazia di Nü,location,Daragoss,location,references
Magocrazia di Nü,location,Azkabel,location,references
Magocrazia di Nü,location,Gundazar,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Lanie,deity_or_faction,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Lanie,deity_or_faction,references
Magocrazia di Nü,location,Gundazar,location,references
Magocrazia di Nü,location,Lanie,deity_or_faction,references
Magocrazia di Nü,location,Cenere di Lanie,location,references
Magocrazia di Nü,location,Nelen Deseziath,npc,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Lanie,deity_or_faction,references
Magocrazia di Nü,location,Città di Nü,location,references
Magocrazia di Nü,location,Azkabel,location,references
Magocrazia di Nü,location,Daragoss,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Yolam'hra,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,Neir,location,references
Magocrazia di Nü,location,wiloi,unknown,references
Magocrazia di Nü,location,wiloi,unknown,references
