name,path,type
Putto.md,01_Lore\Cosmologia\Meteore\Putto.md,artifact
Sfida Celeste.md,01_Lore\Cosmologia\Meteore\Sfida Celeste.md,artifact
Teschio del Traditore.md,01_Lore\Cosmologia\Meteore\Teschio del Traditore.md,artifact
Tibia di Jonuun.md,01_Lore\Cosmologia\Meteore\Tibia di Jonuun.md,artifact
Tridente del Mare Eterno.md,01_Lore\Cosmologia\Meteore\Tridente del Mare Eterno.md,artifact
Yolandi.md,01_Lore\Cosmologia\Meteore\Yolandi.md,artifact
Cratere di Lava.md,01_Lore\Geografia\Cenere di Lanie\Cratere di Lava.md,location
Distese Nuvolose di Aej'Nagrizzt.md,01_Lore\Geografia\Cenere di Lanie\Distese Nuvolose di Aej'Nagrizzt.md,location
Placido Specchio di Ghyd.md,01_Lore\Geografia\Cenere di Lanie\Placido Specchio di Ghyd.md,location
Città delle Trame.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame.md,location
Landa di Edeber.md,01_Lore\Geografia\Ducato di Öuin\Landa di Edeber.md,location
Öuin.md,01_Lore\Geografia\Ducato di Öuin\Öuin.md,location
Gundazar.md,01_Lore\Geografia\Favoleggiate Rovine di Gundazar\Gundazar.md,location
Kkyrlamny.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny.md,location
Provincia di Petralta.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta.md,location
Mendulia's Rock.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock.md,location
Baia d'Argento di Onor.md,01_Lore\Geografia\Larass'hra\Baia d'Argento di Onor.md,location
Bosco di Alysara.md,01_Lore\Geografia\Larass'hra\Bosco di Alysara.md,location
Bosco di Llira.md,01_Lore\Geografia\Larass'hra\Bosco di Llira.md,location
Bosco di Melis.md,01_Lore\Geografia\Larass'hra\Bosco di Melis.md,location
Cimitero dei Draghi.md,01_Lore\Geografia\Larass'hra\Cimitero dei Draghi.md,location
Desolazione Occidentale.md,01_Lore\Geografia\Larass'hra\Desolazione Occidentale.md,location
Golfo della Zanna Blu.md,01_Lore\Geografia\Larass'hra\Golfo della Zanna Blu.md,location
Isole Gemelle.md,01_Lore\Geografia\Larass'hra\Isole Gemelle.md,location
Lago di Udz.md,01_Lore\Geografia\Larass'hra\Lago di Udz.md,location
Mare della Progenie dell'Esiliato.md,01_Lore\Geografia\Larass'hra\Mare della Progenie dell'Esiliato.md,location
Montagna dell'Occhio del Drago.md,01_Lore\Geografia\Larass'hra\Montagna dell'Occhio del Drago.md,location
Picchi del Wyrm.md,01_Lore\Geografia\Larass'hra\Picchi del Wyrm.md,location
Progenie del Vulcano.md,01_Lore\Geografia\Larass'hra\Progenie del Vulcano.md,location
Regione Mistica.md,01_Lore\Geografia\Larass'hra\Regione Mistica.md,location
Terra di Ambra.md,01_Lore\Geografia\Larass'hra\Terra di Ambra.md,location
Vetta delle Anime.md,01_Lore\Geografia\Larass'hra\Vetta delle Anime.md,location
Azkabel.md,01_Lore\Geografia\Magocrazia di Nü\Azkabel.md,location
Città di Nü.md,01_Lore\Geografia\Magocrazia di Nü\Città di Nü.md,location
Daragoss.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss.md,location
Giardino degli Dei.md,01_Lore\Geografia\Oasi di Zey\Giardino degli Dei.md,location
La Taverna Sommersa.md,01_Lore\Geografia\Oasi di Zey\La Taverna Sommersa.md,location
Le Mura Invalicabili.md,01_Lore\Geografia\Oasi di Zey\Le Mura Invalicabili.md,location
Piramide del Dio Dimenticato.md,01_Lore\Geografia\Oasi di Zey\Piramide del Dio Dimenticato.md,location
Scuola degli Specchi.md,01_Lore\Geografia\Oasi di Zey\Scuola degli Specchi.md,location
Milford.md,01_Lore\Geografia\Pianure di Xanesh\Milford.md,location
Mubunash.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash.md,location
Forte Arundex.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex.md,location
Campo Geyser.md,01_Lore\Geografia\Valle Nuvolosa\Campo Geyser.md,location
Ludreq.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq.md,location
Pahr.md,01_Lore\Geografia\Valle Nuvolosa\Pahr.md,location
Selva Infestata di Mysteria.md,01_Lore\Geografia\Valle Nuvolosa\Selva Infestata di Mysteria.md,location
Cancello.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Cancello.md,location
Mercato degli Schiavi.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Mercato degli Schiavi.md,location
Obelisco dei Vinti.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Obelisco dei Vinti.md,location
Piscine.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Piscine.md,location
Reggia dei Piaceri.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Reggia dei Piaceri.md,location
Segrete.md,01_Lore\Geografia\Dominio delle Trame\Città delle Trame\Segrete.md,location
Radura delle Pietre Grigie.md,01_Lore\Geografia\Ducato di Öuin\Landa di Edeber\Radura delle Pietre Grigie.md,location
Locanda degli Eroi.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Locanda degli Eroi.md,location
Molo.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Molo.md,location
Palazzo Ducale.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Palazzo Ducale.md,location
Piazza della Giostra.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Piazza della Giostra.md,location
Ponte Curvo.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Ponte Curvo.md,location
Riposo dei Cavalieri.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Riposo dei Cavalieri.md,location
Sala dei Gran Maestri.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Sala dei Gran Maestri.md,location
Tempio del Cuore e della Mente.md,01_Lore\Geografia\Ducato di Öuin\Öuin\Tempio del Cuore e della Mente.md,location
Aman'Raith.md,01_Lore\Geografia\Favoleggiate Rovine di Gundazar\Gundazar\Aman'Raith.md,location
Il Palazzo Imperiale.md,01_Lore\Geografia\Favoleggiate Rovine di Gundazar\Gundazar\Il Palazzo Imperiale.md,location
La Torre delle Anime.md,01_Lore\Geografia\Favoleggiate Rovine di Gundazar\Gundazar\La Torre delle Anime.md,location
Fiume Dern.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Fiume Dern.md,location
Giungla di Erth.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Giungla di Erth.md,location
Gloriosa Ezakran.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran.md,location
Hzaad'à.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Hzaad'à.md,location
Lago Vurur.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Lago Vurur.md,location
Miniere delle Otto Famiglie.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Miniere delle Otto Famiglie.md,location
Ynxazvann.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Ynxazvann.md,location
Abisso Oscuro.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Abisso Oscuro.md,location
Baia di Redoro.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Baia di Redoro.md,location
Fato di Lyonel.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Fato di Lyonel.md,location
Manor.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Manor.md,location
Petralta.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta.md,location
Giardinetti Lungofiume.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Giardinetti Lungofiume.md,location
Palazzo-sfera dell'Imperatore.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Palazzo-sfera dell'Imperatore.md,location
Quartiere Hjilaki.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Quartiere Hjilaki.md,location
Quartiere Mendus.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Quartiere Mendus.md,location
Quartiere Zeyd.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Quartiere Zeyd.md,location
Ritrovo dei Dannati.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Ritrovo dei Dannati.md,location
Tempio della Luce Nera.md,01_Lore\Geografia\Impero delle Terre Nascoste\Kkyrlamny\Gloriosa Ezakran\Tempio della Luce Nera.md,location
Fiera Avveniristica di Flurr lo Gnomo.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\Fiera Avveniristica di Flurr lo Gnomo.md,location
I Bianchi Sepolcri.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\I Bianchi Sepolcri.md,location
Mura di Aeros II.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\Mura di Aeros II.md,location
Ospedale del Silenzio.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\Ospedale del Silenzio.md,location
Ostello dei Morti Contenti.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\Ostello dei Morti Contenti.md,location
Porticato del Governatore.md,01_Lore\Geografia\Impero delle Terre Nascoste\Provincia di Petralta\Petralta\Porticato del Governatore.md,location
Accademia delle Sette Arti.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Accademia delle Sette Arti.md,location
Banco del Mare.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Banco del Mare.md,location
Base della Marina.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Base della Marina.md,location
Bassifondi.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Bassifondi.md,location
Corporazione delle Arti.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Corporazione delle Arti.md,location
Ippodromo.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Ippodromo.md,location
Molo degli Stendardi.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Molo degli Stendardi.md,location
Rifugio dei Marinai.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Rifugio dei Marinai.md,location
Rupe di Mendulia.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Rupe di Mendulia.md,location
Scuola delle Parole che Uccidono.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Scuola delle Parole che Uccidono.md,location
Tana delle Sguattere.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Tana delle Sguattere.md,location
Teatro dei Sogni.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Teatro dei Sogni.md,location
Tempio della Guarigione.md,01_Lore\Geografia\La Repubblica di Mendulia's Rock\Mendulia's Rock\Tempio della Guarigione.md,location
Biblioteca di Azkabel.md,01_Lore\Geografia\Magocrazia di Nü\Azkabel\Biblioteca di Azkabel.md,location
Casa dei Musici e delle Belle Arti.md,01_Lore\Geografia\Magocrazia di Nü\Azkabel\Casa dei Musici e delle Belle Arti.md,location
Osteria dell'Onda Infranta.md,01_Lore\Geografia\Magocrazia di Nü\Azkabel\Osteria dell'Onda Infranta.md,location
Accademia Magica di Nü.md,01_Lore\Geografia\Magocrazia di Nü\Città di Nü\Accademia Magica di Nü.md,location
Locanda della Pergamena Annacquata.md,01_Lore\Geografia\Magocrazia di Nü\Città di Nü\Locanda della Pergamena Annacquata.md,location
Locanda delle Spade Incantate.md,01_Lore\Geografia\Magocrazia di Nü\Città di Nü\Locanda delle Spade Incantate.md,location
Torre dei Segreti.md,01_Lore\Geografia\Magocrazia di Nü\Città di Nü\Torre dei Segreti.md,location
Caserma delle Mille Lance.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss\Caserma delle Mille Lance.md,location
Grande Porto.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss\Grande Porto.md,location
Museo Naturale.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss\Museo Naturale.md,location
Università delle Scienze.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss\Università delle Scienze.md,location
Via delle Botteghe.md,01_Lore\Geografia\Magocrazia di Nü\Daragoss\Via delle Botteghe.md,location
Fortino del Conte.md,01_Lore\Geografia\Pianure di Xanesh\Milford\Fortino del Conte.md,location
Locanda dell'Eterno Riposo.md,01_Lore\Geografia\Pianure di Xanesh\Milford\Locanda dell'Eterno Riposo.md,location
Corporazione degli Archivisti.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Corporazione degli Archivisti.md,location
Locanda del Cappuccio Nero.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Locanda del Cappuccio Nero.md,location
Monteforte.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Monteforte.md,location
Oscura Chiesa di Tenebris.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Oscura Chiesa di Tenebris.md,location
Tempietto degli Ospedalieri.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Tempietto degli Ospedalieri.md,location
Terme Imperiali.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Terme Imperiali.md,location
Torre Baronale.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Torre Baronale.md,location
Via degli Imperatori.md,01_Lore\Geografia\Pianure di Xanesh\Mubunash\Via degli Imperatori.md,location
Antro dei Lupi d'Inverno.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Antro dei Lupi d'Inverno.md,location
Arena delle Belve.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Arena delle Belve.md,location
Bastione Grigio.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Bastione Grigio.md,location
Guarnigione del Simbolo Guerriero.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Guarnigione del Simbolo Guerriero.md,location
Lago delle Quattro Braccia.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Lago delle Quattro Braccia.md,location
Tempio degli Antenati.md,01_Lore\Geografia\Valle dei Giganti\Forte Arundex\Tempio degli Antenati.md,location
Bastione del Principe.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Bastione del Principe.md,location
Birreria dei Thunder.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Birreria dei Thunder.md,location
Collegio.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Collegio.md,location
Fonderia del Principe.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Fonderia del Principe.md,location
Fondo di Guldann.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Fondo di Guldann.md,location
Fortezza degli Scudi.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Fortezza degli Scudi.md,location
Santuario di Fadranstaff.md,01_Lore\Geografia\Valle Nuvolosa\Ludreq\Santuario di Fadranstaff.md,location
Abandoned Grove.md,02_Meccaniche_DaggerHeart\Ambienti\Abandoned Grove.md,environment
Ambushed.md,02_Meccaniche_DaggerHeart\Ambienti\Ambushed.md,environment
Ambushers.md,02_Meccaniche_DaggerHeart\Ambienti\Ambushers.md,environment
Burning Heart of the Woods.md,02_Meccaniche_DaggerHeart\Ambienti\Burning Heart of the Woods.md,environment
Bustling Marketplace.md,02_Meccaniche_DaggerHeart\Ambienti\Bustling Marketplace.md,environment
Castle Siege.md,02_Meccaniche_DaggerHeart\Ambienti\Castle Siege.md,environment
Chaos Realm.md,02_Meccaniche_DaggerHeart\Ambienti\Chaos Realm.md,environment
Cliffside Ascent.md,02_Meccaniche_DaggerHeart\Ambienti\Cliffside Ascent.md,environment
Cult Ritual.md,02_Meccaniche_DaggerHeart\Ambienti\Cult Ritual.md,environment
Divine Usurpation.md,02_Meccaniche_DaggerHeart\Ambienti\Divine Usurpation.md,environment
Hallowed Temple.md,02_Meccaniche_DaggerHeart\Ambienti\Hallowed Temple.md,environment
Haunted City.md,02_Meccaniche_DaggerHeart\Ambienti\Haunted City.md,environment
Imperial Court.md,02_Meccaniche_DaggerHeart\Ambienti\Imperial Court.md,environment
Local Tavern.md,02_Meccaniche_DaggerHeart\Ambienti\Local Tavern.md,environment
Mountain Pass.md,02_Meccaniche_DaggerHeart\Ambienti\Mountain Pass.md,environment
Necromancers Ossuary.md,02_Meccaniche_DaggerHeart\Ambienti\Necromancers Ossuary.md,environment
Outpost Town.md,02_Meccaniche_DaggerHeart\Ambienti\Outpost Town.md,environment
Pitched Battle.md,02_Meccaniche_DaggerHeart\Ambienti\Pitched Battle.md,environment
Raging River.md,02_Meccaniche_DaggerHeart\Ambienti\Raging River.md,environment
Advanced Chainmail Armor.md,02_Meccaniche_DaggerHeart\Armature\Advanced Chainmail Armor.md,armor
Advanced Full Plate Armor.md,02_Meccaniche_DaggerHeart\Armature\Advanced Full Plate Armor.md,armor
Advanced Gambeson Armor.md,02_Meccaniche_DaggerHeart\Armature\Advanced Gambeson Armor.md,armor
Advanced Leather Armor.md,02_Meccaniche_DaggerHeart\Armature\Advanced Leather Armor.md,armor
Bellamoi Fine Armor.md,02_Meccaniche_DaggerHeart\Armature\Bellamoi Fine Armor.md,armor
Bladefare Armor.md,02_Meccaniche_DaggerHeart\Armature\Bladefare Armor.md,armor
Chainmail Armor.md,02_Meccaniche_DaggerHeart\Armature\Chainmail Armor.md,armor
Channeling Armor.md,02_Meccaniche_DaggerHeart\Armature\Channeling Armor.md,armor
Dragonscale Armor.md,02_Meccaniche_DaggerHeart\Armature\Dragonscale Armor.md,armor
Dunamis Silkchain.md,02_Meccaniche_DaggerHeart\Armature\Dunamis Silkchain.md,armor
Elundrian Chain Armor.md,02_Meccaniche_DaggerHeart\Armature\Elundrian Chain Armor.md,armor
Emberwoven Armor.md,02_Meccaniche_DaggerHeart\Armature\Emberwoven Armor.md,armor
Full Fortified Armor.md,02_Meccaniche_DaggerHeart\Armature\Full Fortified Armor.md,armor
Full Plate Armor.md,02_Meccaniche_DaggerHeart\Armature\Full Plate Armor.md,armor
Gambeson Armor.md,02_Meccaniche_DaggerHeart\Armature\Gambeson Armor.md,armor
Harrowbone Armor.md,02_Meccaniche_DaggerHeart\Armature\Harrowbone Armor.md,armor
Improved Chainmail Armor.md,02_Meccaniche_DaggerHeart\Armature\Improved Chainmail Armor.md,armor
Improved Full Plate Armor.md,02_Meccaniche_DaggerHeart\Armature\Improved Full Plate Armor.md,armor
Improved Gambeson Armor.md,02_Meccaniche_DaggerHeart\Armature\Improved Gambeson Armor.md,armor
Improved Leather Armor.md,02_Meccaniche_DaggerHeart\Armature\Improved Leather Armor.md,armor
Irontree Breastplate Armor.md,02_Meccaniche_DaggerHeart\Armature\Irontree Breastplate Armor.md,armor
Leather Armor.md,02_Meccaniche_DaggerHeart\Armature\Leather Armor.md,armor
Legendary Chainmail Armor.md,02_Meccaniche_DaggerHeart\Armature\Legendary Chainmail Armor.md,armor
Legendary Full Plate Armor.md,02_Meccaniche_DaggerHeart\Armature\Legendary Full Plate Armor.md,armor
Legendary Gambeson Armor.md,02_Meccaniche_DaggerHeart\Armature\Legendary Gambeson Armor.md,armor
